latent_dim,kl_weight,learning_rate,batch_size,final_loss,run_dir
4,0.005,0.001,16,423.93695068359375,grid_search_vae\run_000_dim4_kl0.005_lr0.001
4,0.005,0.001,32,848.3319702148438,grid_search_vae\run_001_dim4_kl0.005_lr0.001
4,0.005,0.0005,16,425.3512268066406,grid_search_vae\run_002_dim4_kl0.005_lr0.0005
4,0.005,0.0005,32,850.8486938476562,grid_search_vae\run_003_dim4_kl0.005_lr0.0005
4,0.01,0.001,16,424.6199951171875,grid_search_vae\run_004_dim4_kl0.01_lr0.001
4,0.01,0.001,32,852.0017700195312,grid_search_vae\run_005_dim4_kl0.01_lr0.001
4,0.01,0.0005,16,426.5516662597656,grid_search_vae\run_006_dim4_kl0.01_lr0.0005
4,0.01,0.0005,32,861.1066284179688,grid_search_vae\run_007_dim4_kl0.01_lr0.0005
4,0.05,0.001,16,428.3543395996094,grid_search_vae\run_008_dim4_kl0.05_lr0.001
4,0.05,0.001,32,856.628173828125,grid_search_vae\run_009_dim4_kl0.05_lr0.001
4,0.05,0.0005,16,429.30865478515625,grid_search_vae\run_010_dim4_kl0.05_lr0.0005
4,0.05,0.0005,32,863.5391845703125,grid_search_vae\run_011_dim4_kl0.05_lr0.0005
4,0.1,0.001,16,430.431396484375,grid_search_vae\run_012_dim4_kl0.1_lr0.001
4,0.1,0.001,32,861.3214721679688,grid_search_vae\run_013_dim4_kl0.1_lr0.001
4,0.1,0.0005,16,430.7628479003906,grid_search_vae\run_014_dim4_kl0.1_lr0.0005
4,0.1,0.0005,32,865.0557861328125,grid_search_vae\run_015_dim4_kl0.1_lr0.0005
8,0.005,0.001,16,421.85577392578125,grid_search_vae\run_016_dim8_kl0.005_lr0.001
8,0.005,0.001,32,846.9515380859375,grid_search_vae\run_017_dim8_kl0.005_lr0.001
8,0.005,0.0005,16,423.44464111328125,grid_search_vae\run_018_dim8_kl0.005_lr0.0005
8,0.005,0.0005,32,855.1676025390625,grid_search_vae\run_019_dim8_kl0.005_lr0.0005
8,0.01,0.001,16,424.9928283691406,grid_search_vae\run_020_dim8_kl0.01_lr0.001
8,0.01,0.001,32,852.9747314453125,grid_search_vae\run_021_dim8_kl0.01_lr0.001
8,0.01,0.0005,16,426.39898681640625,grid_search_vae\run_022_dim8_kl0.01_lr0.0005
8,0.01,0.0005,32,855.0890502929688,grid_search_vae\run_023_dim8_kl0.01_lr0.0005
8,0.05,0.001,16,428.4664306640625,grid_search_vae\run_024_dim8_kl0.05_lr0.001
8,0.05,0.001,32,858.3734130859375,grid_search_vae\run_025_dim8_kl0.05_lr0.001
8,0.05,0.0005,16,428.9192810058594,grid_search_vae\run_026_dim8_kl0.05_lr0.0005
8,0.05,0.0005,32,861.2450561523438,grid_search_vae\run_027_dim8_kl0.05_lr0.0005
8,0.1,0.001,16,430.9399108886719,grid_search_vae\run_028_dim8_kl0.1_lr0.001
8,0.1,0.001,32,863.3285522460938,grid_search_vae\run_029_dim8_kl0.1_lr0.001
8,0.1,0.0005,16,431.5992431640625,grid_search_vae\run_030_dim8_kl0.1_lr0.0005
8,0.1,0.0005,32,865.44140625,grid_search_vae\run_031_dim8_kl0.1_lr0.0005
16,0.005,0.001,16,422.1951599121094,grid_search_vae\run_032_dim16_kl0.005_lr0.001
16,0.005,0.001,32,847.5344848632812,grid_search_vae\run_033_dim16_kl0.005_lr0.001
16,0.005,0.0005,16,425.37939453125,grid_search_vae\run_034_dim16_kl0.005_lr0.0005
16,0.005,0.0005,32,853.4586791992188,grid_search_vae\run_035_dim16_kl0.005_lr0.0005
16,0.01,0.001,16,423.89044189453125,grid_search_vae\run_036_dim16_kl0.01_lr0.001
16,0.01,0.001,32,851.1174926757812,grid_search_vae\run_037_dim16_kl0.01_lr0.001
16,0.01,0.0005,16,426.1413879394531,grid_search_vae\run_038_dim16_kl0.01_lr0.0005
16,0.01,0.0005,32,856.0191040039062,grid_search_vae\run_039_dim16_kl0.01_lr0.0005
16,0.05,0.001,16,429.1812744140625,grid_search_vae\run_040_dim16_kl0.05_lr0.001
16,0.05,0.001,32,860.3524169921875,grid_search_vae\run_041_dim16_kl0.05_lr0.001
16,0.05,0.0005,16,429.71942138671875,grid_search_vae\run_042_dim16_kl0.05_lr0.0005
16,0.05,0.0005,32,862.6912231445312,grid_search_vae\run_043_dim16_kl0.05_lr0.0005
16,0.1,0.001,16,431.8445129394531,grid_search_vae\run_044_dim16_kl0.1_lr0.001
16,0.1,0.001,32,863.4755859375,grid_search_vae\run_045_dim16_kl0.1_lr0.001
16,0.1,0.0005,16,431.845703125,grid_search_vae\run_046_dim16_kl0.1_lr0.0005
16,0.1,0.0005,32,866.439697265625,grid_search_vae\run_047_dim16_kl0.1_lr0.0005
32,0.005,0.001,16,422.81475830078125,grid_search_vae\run_048_dim32_kl0.005_lr0.001
32,0.005,0.001,32,848.547119140625,grid_search_vae\run_049_dim32_kl0.005_lr0.001
32,0.005,0.0005,16,423.8005065917969,grid_search_vae\run_050_dim32_kl0.005_lr0.0005
32,0.005,0.0005,32,854.7277221679688,grid_search_vae\run_051_dim32_kl0.005_lr0.0005
32,0.01,0.001,16,424.134033203125,grid_search_vae\run_052_dim32_kl0.01_lr0.001
32,0.01,0.001,32,852.5584716796875,grid_search_vae\run_053_dim32_kl0.01_lr0.001
32,0.01,0.0005,16,426.9838562011719,grid_search_vae\run_054_dim32_kl0.01_lr0.0005
